Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
les falaise,Ain Taya,1.0,75,4.0,1,1,1,1,0,0,0,0,1800.0
ain baylk jbb,Ain Taya,1.0,100,3.0,1,1,1,0,1,0,0,0,1700.0
si el haouas ain taya.,Ain Taya,1.0,75,3.0,1,1,1,1,0,1,0,1,1250.0
les falaises ,Ain Taya,3.0,71,3.0,1,1,1,1,0,1,0,0,4800.0
djbele chilia,Ain Taya,3.0,86,3.0,1,1,1,0,0,0,0,1,2500.0
Si elhaouas,Ain Taya,2.0,90,3.0,1,1,1,1,0,0,0,0,2300.0
si el haoues,Ain Taya,3.0,102,3.0,1,1,1,0,0,0,0,0,3000.0
ain taya ,Ain Taya,1.0,75,3.0,1,1,1,1,0,1,0,0,4000.0
Bendj3ida,Ain Taya,3.0,90,4.0,1,1,1,1,0,0,0,0,2500.0
EL KARIA DIAR EL GHARB,Ain Taya,1.0,73,3.0,1,1,1,1,0,0,0,0,2000.0
Si el Houasse,Ain Taya,2.0,70,3.0,1,1,1,1,1,1,0,0,4000.0
 ,Ain Taya,1.0,80,3.0,1,1,1,0,0,0,0,0,1200.0
dergana ,Ain Taya,4.0,140,5.0,1,1,1,1,0,0,0,0,1500.0
ROUTE DE DERGANA,Ain Taya,3.0,70,3.0,0,0,0,0,0,0,0,0,2800.0
 ,Ain Taya,4.0,125,5.0,1,1,1,1,1,0,0,0,3200.0
Hraouah,Ain Taya,2.0,138,4.0,1,1,1,1,0,0,0,1,3300.0
cit diar el gharb,Ain Taya,1.0,75,3.0,1,1,1,0,1,0,0,0,2000.0
Diar el gharb,Ain Taya,3.0,140,5.0,1,1,1,1,0,0,0,0,1400.0
 si el houasse,Ain Taya,3.0,120,5.0,1,1,1,0,0,0,0,0,1100.0
Surcouf,Ain Taya,2.0,64,3.0,1,1,1,0,0,0,0,0,3200.0
ain taya,Ain Taya,3.0,80,3.0,1,1,1,0,1,0,0,1,1300.0
ain taya ,Ain Taya,3.0,70,3.0,1,1,1,1,0,1,0,0,1000.0
Ain Taya,Ain Taya,3.0,74,3.0,1,1,1,1,0,0,0,1,3400.0
Les falaises ,Ain Taya,1.0,70,3.0,1,1,1,0,0,0,0,0,5000.0
CITE NOUVELLE DIARE EL GHARBE AIN TAYA,Ain Taya,1.0,98,4.0,1,1,1,1,0,0,0,0,1950.0
ain taya ,Ain Taya,3.0,150,5.0,0,0,0,0,0,0,0,0,1800.0
